input,output,teach,
-1.000000,0.463210,0.756802,
-0.980000,0.521741,0.712146,
-0.960000,0.388023,0.662999,
-0.940000,0.446554,0.609738,
-0.920000,0.505085,0.552769,
-0.900000,0.319481,0.492520,
-0.880000,0.378012,0.429441,
-0.860000,0.436543,0.363998,
-0.840000,0.495074,0.296675,
-0.820000,0.128635,0.227966,
-0.800000,0.187166,0.158374,
-0.780000,0.245697,0.088409,
-0.760000,-0.171878,0.018582,
-0.740000,-0.113347,-0.050596,
-0.720000,-0.054816,-0.118619,
-0.700000,0.003714,-0.184988,
-0.680000,-0.606605,-0.249214,
-0.660000,-0.548074,-0.310823,
-0.640000,-0.489544,-0.369355,
-0.620000,-0.431013,-0.424374,
-0.600000,-0.372482,-0.475463,
-0.580000,-0.313951,-0.522231,
-0.560000,-0.255420,-0.564316,
-0.540000,-0.196889,-0.601383,
-0.520000,-0.996334,-0.633133,
-0.500000,-0.937803,-0.659297,
-0.480000,-0.879272,-0.679645,
-0.460000,-0.820741,-0.693983,
-0.440000,-0.762211,-0.702154,
-0.420000,-0.703680,-0.704043,
-0.400000,-0.645149,-0.699574,
-0.380000,-0.586618,-0.688710,
-0.360000,-0.528087,-0.671458,
-0.340000,-0.469556,-0.647865,
-0.320000,-0.411025,-0.618016,
-0.300000,-0.352495,-0.582039,
-0.280000,-0.293964,-0.540100,
-0.260000,-0.235433,-0.492404,
-0.240000,-0.176902,-0.439192,
-0.220000,-0.118371,-0.380739,
-0.200000,-0.059840,-0.317356,
-0.180000,-0.001309,-0.249385,
-0.160000,0.057222,-0.177195,
-0.140000,0.115752,-0.101186,
-0.120000,0.174283,-0.021779,
-0.100000,0.232814,0.060582,
-0.080000,0.291345,0.145433,
-0.060000,0.349876,0.232297,
-0.040000,0.408407,0.320682,
-0.020000,0.466938,0.410085,
0.000000,0.525468,0.500000,
0.020000,0.583999,0.589915,
0.040000,0.642530,0.679318,
0.060000,0.701061,0.767703,
0.080000,0.759592,0.854567,
0.100000,0.818123,0.939418,
0.120000,0.876654,1.021779,
0.140000,0.935184,1.101186,
0.160000,0.993715,1.177195,
0.180000,1.052246,1.249385,
0.200000,1.110777,1.317356,
0.220000,1.169308,1.380739,
0.240000,1.227839,1.439192,
0.260000,1.286370,1.492404,
0.280000,1.344900,1.540100,
0.300000,1.403431,1.582039,
0.320000,1.461962,1.618016,
0.340000,1.520493,1.647865,
0.360000,1.579024,1.671458,
0.380000,1.637555,1.688710,
0.400000,1.696086,1.699574,
0.420000,1.754616,1.704043,
0.440000,1.813147,1.702154,
0.460000,1.871678,1.693983,
0.480000,1.930209,1.679645,
0.500000,1.988740,1.659297,
0.520000,2.047271,1.633133,
0.540000,1.247826,1.601383,
0.560000,1.306357,1.564316,
0.580000,1.364888,1.522231,
0.600000,1.423419,1.475463,
0.620000,1.481949,1.424374,
0.640000,1.540480,1.369355,
0.660000,1.599011,1.310823,
0.680000,1.657542,1.249214,
0.700000,1.047222,1.184988,
0.720000,1.105753,1.118619,
0.740000,1.164284,1.050596,
0.760000,1.222815,0.981418,
0.780000,0.805240,0.911591,
0.800000,0.863771,0.841626,
0.820000,0.922302,0.772034,
0.840000,0.555863,0.703325,
0.860000,0.614394,0.636002,
0.880000,0.672925,0.570559,
0.900000,0.731456,0.507480,
0.920000,0.545852,0.447231,
0.940000,0.604383,0.390262,
0.960000,0.662914,0.337001,
0.980000,0.529195,0.287854,
1.000000,0.587726,0.243198,
